City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
213,Hasaki,JP,2020-05-10 17:31:11,35.73,140.83,71.6,94,75,10.29,light intensity shower rain,0,0
214,Djenne,ML,2020-05-10 17:31:12,13.91,-4.55,99.0,24,54,6.98,broken clouds,0,0
215,Pochutla,MX,2020-05-10 17:31:12,15.74,-96.47,93.99,49,20,8.05,few clouds,0,0
216,Taltal,CL,2020-05-10 17:31:12,-25.4,-70.48,65.43,61,22,3.91,few clouds,0,0
217,Tena,EC,2020-05-10 17:31:12,-0.98,-77.82,82.4,78,75,4.7,broken clouds,0,0
218,Severnyy,RU,2020-05-10 17:31:12,50.68,36.55,50.0,93,75,2.24,broken clouds,0,0
219,Fortuna,US,2020-05-10 17:31:12,40.6,-124.16,62.01,82,40,5.82,scattered clouds,0,0
220,Tasiilaq,GL,2020-05-10 17:31:13,65.61,-37.64,35.6,59,0,11.41,clear sky,0,0
221,Saint George,US,2020-05-10 17:29:32,37.1,-113.58,86.0,19,1,0.51,clear sky,0,0
222,Tiksi,RU,2020-05-10 17:31:13,71.69,128.87,25.66,98,89,6.33,overcast clouds,0,0
223,Bukachacha,RU,2020-05-10 17:31:13,52.98,116.92,40.82,65,88,16.35,overcast clouds,0,0
224,Hambantota,LK,2020-05-10 17:31:13,6.12,81.12,82.31,81,100,4.72,light rain,0,0
225,Utica,US,2020-05-10 17:27:00,43.1,-75.23,46.99,52,90,14.99,light rain,0,0
226,Axim,GH,2020-05-10 17:31:13,4.87,-2.24,82.56,81,75,11.97,broken clouds,0,0
227,Necochea,AR,2020-05-10 17:31:14,-38.55,-58.74,70.0,47,32,4.0,scattered clouds,0,0
228,Dunedin,NZ,2020-05-10 17:31:14,-45.87,170.5,48.99,97,35,4.65,scattered clouds,0,0
229,Hervey Bay,AU,2020-05-10 17:31:14,-25.3,152.85,63.0,68,48,5.01,scattered clouds,0,0
230,Ferme-Neuve,CA,2020-05-10 17:31:14,46.7,-75.45,48.25,47,97,13.11,overcast clouds,0,0
231,Green River,US,2020-05-10 17:31:14,41.53,-109.47,51.8,34,1,12.75,clear sky,0,0
232,Rochester,US,2020-05-10 17:31:08,43.15,-77.62,50.0,88,90,19.46,light rain,0,0
233,Amahai,ID,2020-05-10 17:31:15,-3.33,128.92,78.64,85,100,1.92,light rain,0,0
234,Santa Isabel,BR,2020-05-10 17:31:15,-23.32,-46.22,75.2,44,20,3.36,few clouds,0,0
235,Baruun-Urt,MN,2020-05-10 17:31:15,46.68,113.28,47.86,53,86,20.89,overcast clouds,0,0
236,Seymchan,RU,2020-05-10 17:31:15,62.88,152.43,30.36,95,100,9.98,overcast clouds,0,0
237,Mexico,PH,2020-05-10 17:30:46,15.06,120.72,78.8,94,75,2.24,broken clouds,0,0
238,Vilhena,BR,2020-05-10 17:31:16,-12.74,-60.15,83.59,62,54,3.02,light rain,0,0
239,Karpathos,GR,2020-05-10 17:31:17,35.51,27.21,69.8,35,31,8.05,scattered clouds,0,0
240,Victoria,HK,2020-05-10 17:30:29,22.29,114.16,80.01,83,95,5.46,light rain,0,0
241,The Valley,AI,2020-05-10 17:31:17,18.22,-63.06,86.0,55,40,16.11,scattered clouds,0,0
